=== UNITY CONSOLE LOG ===
Session started: 7/14/2025 4:40:20 PM
Unity Version: 6000.0.45f1
Platform: WindowsEditor

[16:40:21.041] [0.000s] [INFO] SimpleTowerDefenseAgent: OnEpisodeBegin called
[16:40:21.046] [0.000s] [INFO] Heuristic: Building tower on node 0
[16:40:21.050] [0.000s] [INFO] Building MachineGunTowerData at position (2.71, 2.41, 0.00)
[16:40:21.051] [0.000s] [INFO] Tower MachineGunTower(Clone) initialized at (2.71, 2.41, 0.00)
[16:40:21.052] [0.000s] [INFO] Tower MachineGunTower(Clone) initialized successfully
[16:40:22.663] [0.940s] [INFO] Heuristic: No actions available
[16:40:22.684] [0.960s] [INFO] Heuristic: No actions available
[16:40:22.703] [0.980s] [INFO] Heuristic: No actions available
[16:40:22.724] [1.000s] [INFO] Heuristic: No actions available
[16:40:22.743] [1.020s] [INFO] Heuristic: No actions available
[16:40:22.763] [1.040s] [INFO] Heuristic: No actions available
[16:40:22.783] [1.060s] [INFO] Heuristic: No actions available
[16:40:22.802] [1.080s] [INFO] Heuristic: No actions available
[16:40:22.823] [1.100s] [INFO] Heuristic: No actions available
[16:40:22.844] [1.120s] [INFO] Heuristic: No actions available
[16:40:22.863] [1.140s] [INFO] Heuristic: No actions available
[16:40:22.882] [1.160s] [INFO] Heuristic: No actions available
[16:40:22.902] [1.180s] [INFO] Heuristic: No actions available
[16:40:22.924] [1.200s] [INFO] Heuristic: No actions available
[16:40:22.943] [1.220s] [INFO] Heuristic: No actions available
[16:40:22.962] [1.240s] [INFO] Heuristic: No actions available
[16:40:22.983] [1.260s] [INFO] Heuristic: No actions available
[16:40:23.003] [1.280s] [INFO] Heuristic: No actions available
[16:40:23.023] [1.300s] [INFO] Heuristic: No actions available
[16:40:23.042] [1.320s] [INFO] Heuristic: No actions available
[16:40:23.063] [1.340s] [INFO] Heuristic: No actions available
[16:40:23.082] [1.360s] [INFO] Heuristic: No actions available
[16:40:23.102] [1.380s] [INFO] Heuristic: No actions available
[16:40:23.124] [1.400s] [INFO] Heuristic: No actions available
[16:40:23.142] [1.420s] [INFO] Heuristic: No actions available
[16:40:23.162] [1.440s] [INFO] Heuristic: No actions available
[16:40:23.184] [1.460s] [INFO] Heuristic: No actions available
[16:40:23.202] [1.480s] [INFO] Heuristic: No actions available
[16:40:23.223] [1.500s] [INFO] Heuristic: No actions available
[16:40:23.243] [1.520s] [INFO] Heuristic: No actions available
[16:40:23.264] [1.540s] [INFO] Heuristic: No actions available
[16:40:23.284] [1.560s] [INFO] Heuristic: No actions available
[16:40:23.303] [1.580s] [INFO] Heuristic: No actions available
[16:40:23.323] [1.600s] [INFO] Heuristic: No actions available
[16:40:23.344] [1.620s] [INFO] Heuristic: No actions available
[16:40:23.362] [1.640s] [INFO] Heuristic: No actions available
[16:40:23.383] [1.660s] [INFO] Heuristic: No actions available
[16:40:23.403] [1.680s] [INFO] Heuristic: No actions available
[16:40:23.423] [1.700s] [INFO] Heuristic: No actions available
[16:40:23.443] [1.720s] [INFO] Heuristic: No actions available
[16:40:23.463] [1.740s] [INFO] Heuristic: No actions available
[16:40:23.483] [1.760s] [INFO] Heuristic: No actions available
[16:40:23.504] [1.780s] [INFO] Heuristic: No actions available
[16:40:23.523] [1.800s] [INFO] Heuristic: No actions available
[16:40:23.543] [1.820s] [INFO] Heuristic: No actions available
[16:40:23.562] [1.840s] [INFO] Heuristic: No actions available
[16:40:23.583] [1.860s] [INFO] Heuristic: No actions available
[16:40:23.604] [1.880s] [INFO] Heuristic: No actions available
[16:40:23.623] [1.900s] [INFO] Heuristic: No actions available
[16:40:23.643] [1.920s] [INFO] Heuristic: No actions available
[16:40:23.662] [1.940s] [INFO] Heuristic: No actions available
[16:40:23.683] [1.960s] [INFO] Heuristic: No actions available
[16:40:23.702] [1.980s] [INFO] Heuristic: No actions available
[16:40:23.708] [1.983s] [INFO] Spawned enemy: RunnerEnemy(Clone) with tag: Enemy at position: (-8.06, 6.36, 0.00)
[16:40:23.709] [1.983s] [INFO] Enemies alive: 1
[16:40:23.711] [1.983s] [INFO] Set initial target for RunnerEnemy(Clone): Waypoint (0), total waypoints: 4
[16:40:23.711] [1.983s] [INFO] Enemy RunnerEnemy(Clone) starting movement with speed 1.8, target: Waypoint (0)
[16:40:23.716] [1.993s] [INFO] Enemy RunnerEnemy(Clone) moving to waypoint 1: Waypoint (1)
[16:40:23.722] [2.000s] [INFO] Heuristic: No actions available
[16:40:23.743] [2.020s] [INFO] Heuristic: No actions available
[16:40:23.763] [2.040s] [INFO] Heuristic: No actions available
[16:40:23.785] [2.060s] [INFO] Heuristic: No actions available
[16:40:23.803] [2.080s] [INFO] Heuristic: No actions available
[16:40:23.824] [2.100s] [INFO] Heuristic: No actions available
[16:40:23.843] [2.120s] [INFO] Heuristic: No actions available
[16:40:23.863] [2.140s] [INFO] Heuristic: No actions available
[16:40:23.883] [2.160s] [INFO] Heuristic: No actions available
[16:40:23.903] [2.180s] [INFO] Heuristic: No actions available
[16:40:23.923] [2.200s] [INFO] Heuristic: No actions available
[16:40:23.942] [2.220s] [INFO] Heuristic: No actions available
[16:40:23.962] [2.240s] [INFO] Heuristic: No actions available
[16:40:23.982] [2.260s] [INFO] Heuristic: No actions available
[16:40:24.003] [2.280s] [INFO] Heuristic: No actions available
[16:40:24.023] [2.300s] [INFO] Heuristic: No actions available
[16:40:24.042] [2.320s] [INFO] Heuristic: No actions available
[16:40:24.064] [2.340s] [INFO] Heuristic: No actions available
[16:40:24.083] [2.360s] [INFO] Heuristic: No actions available
[16:40:24.103] [2.380s] [INFO] Heuristic: No actions available
[16:40:24.124] [2.400s] [INFO] Heuristic: No actions available
[16:40:24.143] [2.420s] [INFO] Heuristic: No actions available
[16:40:24.162] [2.440s] [INFO] Heuristic: No actions available
[16:40:24.183] [2.460s] [INFO] Heuristic: No actions available
[16:40:24.203] [2.480s] [INFO] Heuristic: No actions available
[16:40:24.223] [2.500s] [INFO] Heuristic: No actions available
[16:40:24.242] [2.520s] [INFO] Heuristic: No actions available
[16:40:24.263] [2.540s] [INFO] Heuristic: No actions available
[16:40:24.284] [2.560s] [INFO] Heuristic: No actions available
[16:40:24.304] [2.580s] [INFO] Heuristic: No actions available
[16:40:24.323] [2.600s] [INFO] Heuristic: No actions available
[16:40:24.343] [2.620s] [INFO] Heuristic: No actions available
[16:40:24.364] [2.640s] [INFO] Heuristic: No actions available
[16:40:24.384] [2.660s] [INFO] Heuristic: No actions available
[16:40:24.403] [2.680s] [INFO] Heuristic: No actions available
[16:40:24.423] [2.700s] [INFO] Heuristic: No actions available
[16:40:24.443] [2.720s] [INFO] Heuristic: No actions available
[16:40:24.463] [2.740s] [INFO] Heuristic: No actions available
[16:40:24.482] [2.760s] [INFO] Heuristic: No actions available
[16:40:24.503] [2.780s] [INFO] Heuristic: No actions available
[16:40:24.523] [2.800s] [INFO] Heuristic: No actions available
[16:40:24.542] [2.820s] [INFO] Heuristic: No actions available
[16:40:24.564] [2.840s] [INFO] Heuristic: No actions available
[16:40:24.583] [2.860s] [INFO] Heuristic: No actions available
[16:40:24.603] [2.880s] [INFO] Observations - Money: 0, Lives: 20, Wave: 0, Enemies: 1
[16:40:24.604] [2.880s] [INFO] Heuristic: No actions available
[16:40:24.623] [2.900s] [INFO] Heuristic: No actions available
[16:40:24.643] [2.920s] [INFO] Heuristic: No actions available
[16:40:24.663] [2.940s] [INFO] Heuristic: No actions available
[16:40:24.683] [2.960s] [INFO] Heuristic: No actions available
[16:40:24.703] [2.980s] [INFO] Heuristic: No actions available
[16:40:24.723] [3.000s] [INFO] Heuristic: No actions available
[16:40:24.742] [3.020s] [INFO] Heuristic: No actions available
[16:40:24.762] [3.040s] [INFO] Heuristic: No actions available
[16:40:24.784] [3.060s] [INFO] Heuristic: No actions available
[16:40:24.803] [3.080s] [INFO] Heuristic: No actions available
[16:40:24.823] [3.100s] [INFO] Heuristic: No actions available
[16:40:24.842] [3.120s] [INFO] Heuristic: No actions available
[16:40:24.863] [3.140s] [INFO] Heuristic: No actions available
[16:40:24.883] [3.160s] [INFO] Heuristic: No actions available
[16:40:24.903] [3.180s] [INFO] Heuristic: No actions available
[16:40:24.923] [3.200s] [INFO] Heuristic: No actions available
[16:40:24.943] [3.220s] [INFO] Heuristic: No actions available
[16:40:24.963] [3.240s] [INFO] Heuristic: No actions available
[16:40:24.984] [3.260s] [INFO] Heuristic: No actions available
[16:40:25.002] [3.280s] [INFO] Heuristic: No actions available
[16:40:25.022] [3.300s] [INFO] Heuristic: No actions available
[16:40:25.044] [3.320s] [INFO] Heuristic: No actions available
[16:40:25.062] [3.340s] [INFO] Observations - Money: 0, Lives: 20, Wave: 0, Enemies: 1
[16:40:25.064] [3.340s] [INFO] Heuristic: No actions available
[16:40:25.082] [3.360s] [INFO] Heuristic: No actions available
[16:40:25.103] [3.380s] [INFO] Heuristic: No actions available
[16:40:25.122] [3.400s] [INFO] Heuristic: No actions available
[16:40:25.145] [3.420s] [INFO] Heuristic: No actions available
[16:40:25.162] [3.440s] [INFO] Heuristic: No actions available
[16:40:25.183] [3.460s] [INFO] Heuristic: No actions available
[16:40:25.204] [3.480s] [INFO] Heuristic: No actions available
[16:40:25.206] [3.483s] [INFO] Spawned enemy: RunnerEnemy(Clone) with tag: Enemy at position: (-8.06, 6.36, 0.00)
[16:40:25.206] [3.483s] [INFO] Enemies alive: 2
[16:40:25.206] [3.483s] [INFO] Set initial target for RunnerEnemy(Clone): Waypoint (0), total waypoints: 4
[16:40:25.208] [3.483s] [INFO] Enemy RunnerEnemy(Clone) starting movement with speed 1.8, target: Waypoint (0)
[16:40:25.209] [3.488s] [INFO] Enemy RunnerEnemy(Clone) moving to waypoint 1: Waypoint (1)
[16:40:25.223] [3.500s] [INFO] Heuristic: No actions available
[16:40:25.243] [3.520s] [INFO] Heuristic: No actions available
[16:40:25.263] [3.540s] [INFO] Heuristic: No actions available
[16:40:25.284] [3.560s] [INFO] Heuristic: No actions available
[16:40:25.304] [3.580s] [INFO] Heuristic: No actions available
[16:40:25.323] [3.600s] [INFO] Heuristic: No actions available
[16:40:25.345] [3.620s] [INFO] Heuristic: No actions available
[16:40:25.363] [3.640s] [INFO] Heuristic: No actions available
[16:40:25.383] [3.660s] [INFO] Heuristic: No actions available
[16:40:25.404] [3.680s] [INFO] Heuristic: No actions available
[16:40:25.423] [3.700s] [INFO] Heuristic: No actions available
[16:40:25.442] [3.720s] [INFO] Heuristic: No actions available
[16:40:25.463] [3.740s] [INFO] Heuristic: No actions available
[16:40:25.482] [3.760s] [INFO] Heuristic: No actions available
[16:40:25.503] [3.780s] [INFO] Heuristic: No actions available
[16:40:25.523] [3.800s] [INFO] Heuristic: No actions available
[16:40:25.542] [3.820s] [INFO] Heuristic: No actions available
[16:40:25.562] [3.840s] [INFO] Heuristic: No actions available
[16:40:25.584] [3.860s] [INFO] Heuristic: No actions available
[16:40:25.602] [3.880s] [INFO] Heuristic: No actions available
[16:40:25.623] [3.900s] [INFO] Heuristic: No actions available
[16:40:25.643] [3.920s] [INFO] Heuristic: No actions available
[16:40:25.663] [3.940s] [INFO] Heuristic: No actions available
[16:40:25.682] [3.960s] [INFO] Heuristic: No actions available
[16:40:25.704] [3.980s] [INFO] Heuristic: No actions available
[16:40:25.723] [4.000s] [INFO] Heuristic: No actions available
[16:40:25.743] [4.020s] [INFO] Heuristic: No actions available
[16:40:25.764] [4.040s] [INFO] Heuristic: No actions available
[16:40:25.784] [4.060s] [INFO] Heuristic: No actions available
[16:40:25.803] [4.080s] [INFO] Heuristic: No actions available
[16:40:25.823] [4.100s] [INFO] Heuristic: No actions available
[16:40:25.844] [4.120s] [INFO] Heuristic: No actions available
[16:40:25.864] [4.140s] [INFO] Heuristic: No actions available
[16:40:25.884] [4.160s] [INFO] Heuristic: No actions available
[16:40:25.903] [4.180s] [INFO] Heuristic: No actions available
[16:40:25.923] [4.200s] [INFO] Heuristic: No actions available
[16:40:25.944] [4.220s] [INFO] Heuristic: No actions available
[16:40:25.963] [4.240s] [INFO] Heuristic: No actions available
[16:40:25.983] [4.260s] [INFO] Heuristic: No actions available
[16:40:26.002] [4.280s] [INFO] Heuristic: No actions available
[16:40:26.022] [4.300s] [INFO] Heuristic: No actions available
[16:40:26.043] [4.320s] [INFO] Heuristic: No actions available
[16:40:26.063] [4.340s] [INFO] Heuristic: No actions available
[16:40:26.083] [4.360s] [INFO] Heuristic: No actions available
[16:40:26.102] [4.380s] [INFO] Heuristic: No actions available
[16:40:26.125] [4.400s] [INFO] Heuristic: No actions available
[16:40:26.142] [4.420s] [INFO] Heuristic: No actions available
[16:40:26.163] [4.440s] [INFO] Heuristic: No actions available
[16:40:26.183] [4.460s] [INFO] Heuristic: No actions available
[16:40:26.203] [4.480s] [INFO] Heuristic: No actions available
[16:40:26.222] [4.500s] [INFO] Heuristic: No actions available
[16:40:26.244] [4.520s] [INFO] Heuristic: No actions available
[16:40:26.263] [4.540s] [INFO] Heuristic: No actions available
[16:40:26.282] [4.560s] [INFO] Heuristic: No actions available
[16:40:26.304] [4.580s] [INFO] Heuristic: No actions available
[16:40:26.323] [4.600s] [INFO] Heuristic: No actions available
[16:40:26.342] [4.620s] [INFO] Heuristic: No actions available
[16:40:26.363] [4.640s] [INFO] Heuristic: No actions available
[16:40:26.384] [4.660s] [INFO] Heuristic: No actions available
[16:40:26.404] [4.680s] [INFO] Heuristic: No actions available
[16:40:26.422] [4.700s] [INFO] Heuristic: No actions available
[16:40:26.442] [4.720s] [INFO] Heuristic: No actions available
[16:40:26.464] [4.740s] [INFO] Heuristic: No actions available
[16:40:26.483] [4.760s] [INFO] Heuristic: No actions available
[16:40:26.502] [4.780s] [INFO] Heuristic: No actions available
[16:40:26.522] [4.800s] [INFO] Heuristic: No actions available
[16:40:26.542] [4.820s] [INFO] Heuristic: No actions available
[16:40:26.563] [4.840s] [INFO] Heuristic: No actions available
[16:40:26.584] [4.860s] [INFO] Heuristic: No actions available
[16:40:26.603] [4.880s] [INFO] Heuristic: No actions available
[16:40:26.623] [4.900s] [INFO] Heuristic: No actions available
[16:40:26.643] [4.920s] [INFO] Heuristic: No actions available
[16:40:26.663] [4.940s] [INFO] Heuristic: No actions available
[16:40:26.684] [4.960s] [INFO] Heuristic: No actions available
[16:40:26.703] [4.980s] [INFO] Heuristic: No actions available
[16:40:26.707] [4.985s] [INFO] Spawned enemy: RunnerEnemy(Clone) with tag: Enemy at position: (-8.06, 6.36, 0.00)
[16:40:26.708] [4.985s] [INFO] Enemies alive: 3
[16:40:26.708] [4.985s] [INFO] Set initial target for RunnerEnemy(Clone): Waypoint (0), total waypoints: 4
[16:40:26.709] [4.985s] [INFO] Enemy RunnerEnemy(Clone) starting movement with speed 1.8, target: Waypoint (0)
[16:40:26.711] [4.989s] [INFO] Enemy RunnerEnemy(Clone) moving to waypoint 1: Waypoint (1)
[16:40:26.722] [5.000s] [INFO] Heuristic: No actions available
[16:40:26.744] [5.020s] [INFO] Heuristic: No actions available
[16:40:26.762] [5.040s] [INFO] Heuristic: No actions available
[16:40:26.783] [5.060s] [INFO] Heuristic: No actions available
[16:40:26.803] [5.080s] [INFO] Heuristic: No actions available
[16:40:26.823] [5.100s] [INFO] Heuristic: No actions available
[16:40:26.843] [5.120s] [INFO] Heuristic: No actions available
[16:40:26.864] [5.140s] [INFO] Heuristic: No actions available
[16:40:26.883] [5.160s] [INFO] Heuristic: No actions available
[16:40:26.903] [5.180s] [INFO] Heuristic: No actions available
[16:40:26.922] [5.200s] [INFO] Heuristic: No actions available
[16:40:26.943] [5.220s] [INFO] Heuristic: No actions available
[16:40:26.962] [5.240s] [INFO] Heuristic: No actions available
[16:40:26.984] [5.260s] [INFO] Heuristic: No actions available
[16:40:27.004] [5.280s] [INFO] Heuristic: No actions available
[16:40:27.024] [5.300s] [INFO] Heuristic: No actions available
[16:40:27.029] [5.307s] [INFO] Enemy RunnerEnemy(Clone) moving to waypoint 2: Waypoint (2)
[16:40:27.043] [5.320s] [INFO] Heuristic: No actions available
[16:40:27.064] [5.340s] [INFO] Heuristic: No actions available
[16:40:27.082] [5.360s] [INFO] Heuristic: No actions available
[16:40:27.104] [5.380s] [INFO] Heuristic: No actions available
[16:40:27.123] [5.400s] [INFO] Heuristic: No actions available
[16:40:27.143] [5.420s] [INFO] Heuristic: No actions available
[16:40:27.163] [5.440s] [INFO] Heuristic: No actions available
[16:40:27.183] [5.460s] [INFO] Heuristic: No actions available
[16:40:27.203] [5.480s] [INFO] Heuristic: No actions available
[16:40:27.223] [5.500s] [INFO] Heuristic: No actions available
[16:40:27.243] [5.520s] [INFO] Heuristic: No actions available
[16:40:27.263] [5.540s] [INFO] Heuristic: No actions available
[16:40:27.283] [5.560s] [INFO] Observations - Money: 0, Lives: 20, Wave: 0, Enemies: 3
[16:40:27.283] [5.560s] [INFO] Heuristic: No actions available
[16:40:27.303] [5.580s] [INFO] Heuristic: No actions available
[16:40:27.322] [5.600s] [INFO] Heuristic: No actions available
[16:40:27.342] [5.620s] [INFO] Heuristic: No actions available
[16:40:27.363] [5.640s] [INFO] Heuristic: No actions available
[16:40:27.384] [5.660s] [INFO] Heuristic: No actions available
[16:40:27.402] [5.680s] [INFO] Heuristic: No actions available
[16:40:27.423] [5.700s] [INFO] Heuristic: No actions available
[16:40:27.442] [5.720s] [INFO] Heuristic: No actions available
[16:40:27.463] [5.740s] [INFO] Heuristic: No actions available
[16:40:27.484] [5.760s] [INFO] Heuristic: No actions available
[16:40:27.502] [5.780s] [INFO] Heuristic: No actions available
[16:40:27.524] [5.800s] [INFO] Heuristic: No actions available
[16:40:27.543] [5.820s] [INFO] Heuristic: No actions available
[16:40:27.564] [5.840s] [INFO] Heuristic: No actions available
[16:40:27.583] [5.860s] [INFO] Heuristic: No actions available
[16:40:27.603] [5.880s] [INFO] Heuristic: No actions available
[16:40:27.624] [5.900s] [INFO] Heuristic: No actions available
[16:40:27.643] [5.920s] [INFO] Heuristic: No actions available
[16:40:27.663] [5.940s] [INFO] Heuristic: No actions available
[16:40:27.683] [5.960s] [INFO] Heuristic: No actions available
[16:40:27.703] [5.980s] [INFO] Heuristic: No actions available
[16:40:27.723] [6.000s] [INFO] Heuristic: No actions available
[16:40:27.743] [6.020s] [INFO] Heuristic: No actions available
[16:40:27.763] [6.040s] [INFO] Heuristic: No actions available
[16:40:27.784] [6.060s] [INFO] Heuristic: No actions available
[16:40:27.803] [6.080s] [INFO] Heuristic: No actions available
[16:40:27.823] [6.100s] [INFO] Heuristic: No actions available
[16:40:27.843] [6.120s] [INFO] Heuristic: No actions available
[16:40:27.864] [6.140s] [INFO] Heuristic: No actions available
[16:40:27.884] [6.160s] [INFO] Heuristic: No actions available
[16:40:27.905] [6.180s] [INFO] Heuristic: No actions available
[16:40:27.924] [6.200s] [INFO] Heuristic: No actions available
[16:40:27.942] [6.220s] [INFO] Heuristic: No actions available
[16:40:27.964] [6.240s] [INFO] Heuristic: No actions available
[16:40:27.983] [6.260s] [INFO] Heuristic: No actions available
[16:40:28.003] [6.280s] [INFO] Heuristic: No actions available
[16:40:28.023] [6.300s] [INFO] Heuristic: No actions available
[16:40:28.043] [6.320s] [INFO] Heuristic: No actions available
[16:40:28.064] [6.340s] [INFO] Heuristic: No actions available
[16:40:28.083] [6.360s] [INFO] Heuristic: No actions available
[16:40:28.102] [6.380s] [INFO] Heuristic: No actions available
[16:40:28.124] [6.400s] [INFO] Heuristic: No actions available
[16:40:28.142] [6.420s] [INFO] Heuristic: No actions available
[16:40:28.163] [6.440s] [INFO] Heuristic: No actions available
[16:40:28.184] [6.460s] [INFO] Heuristic: No actions available
[16:40:28.204] [6.480s] [INFO] Heuristic: No actions available
[16:40:28.208] [6.485s] [INFO] Spawned enemy: RunnerEnemy(Clone) with tag: Enemy at position: (-8.06, 6.36, 0.00)
[16:40:28.208] [6.485s] [INFO] Enemies alive: 4
[16:40:28.208] [6.485s] [INFO] Set initial target for RunnerEnemy(Clone): Waypoint (0), total waypoints: 4
[16:40:28.209] [6.485s] [INFO] Enemy RunnerEnemy(Clone) starting movement with speed 1.8, target: Waypoint (0)
[16:40:28.211] [6.489s] [INFO] Enemy RunnerEnemy(Clone) moving to waypoint 1: Waypoint (1)
[16:40:28.223] [6.500s] [INFO] Heuristic: No actions available
[16:40:28.243] [6.520s] [INFO] Heuristic: No actions available
[16:40:28.262] [6.540s] [INFO] Heuristic: No actions available
[16:40:28.283] [6.560s] [INFO] Heuristic: No actions available
[16:40:28.302] [6.580s] [INFO] Heuristic: No actions available
[16:40:28.323] [6.600s] [INFO] Heuristic: No actions available
[16:40:28.344] [6.620s] [INFO] Heuristic: No actions available
[16:40:28.363] [6.640s] [INFO] Heuristic: No actions available
[16:40:28.382] [6.660s] [INFO] Heuristic: No actions available
[16:40:28.403] [6.680s] [INFO] Heuristic: No actions available
[16:40:28.422] [6.700s] [INFO] Heuristic: No actions available
[16:40:28.443] [6.720s] [INFO] Heuristic: No actions available
[16:40:28.464] [6.740s] [INFO] Heuristic: No actions available
[16:40:28.483] [6.760s] [INFO] Heuristic: No actions available
[16:40:28.504] [6.780s] [INFO] Heuristic: No actions available
[16:40:28.523] [6.800s] [INFO] Heuristic: No actions available
[16:40:28.525] [6.803s] [INFO] Enemy RunnerEnemy(Clone) moving to waypoint 2: Waypoint (2)
[16:40:28.543] [6.820s] [INFO] Heuristic: No actions available
[16:40:28.563] [6.840s] [INFO] Heuristic: No actions available
[16:40:28.583] [6.860s] [INFO] Heuristic: No actions available
[16:40:28.603] [6.880s] [INFO] Heuristic: No actions available
[16:40:28.623] [6.900s] [INFO] Heuristic: No actions available
[16:40:28.642] [6.920s] [INFO] Heuristic: No actions available
[16:40:28.663] [6.940s] [INFO] Heuristic: No actions available
[16:40:28.682] [6.960s] [INFO] Heuristic: No actions available
[16:40:28.703] [6.980s] [INFO] Heuristic: No actions available
[16:40:28.724] [7.000s] [INFO] Heuristic: No actions available
[16:40:28.742] [7.020s] [INFO] Heuristic: No actions available
[16:40:28.763] [7.040s] [INFO] Heuristic: No actions available
[16:40:28.783] [7.060s] [INFO] Heuristic: No actions available
[16:40:28.803] [7.080s] [INFO] Heuristic: No actions available
[16:40:28.822] [7.100s] [INFO] Heuristic: No actions available
[16:40:28.843] [7.120s] [INFO] Heuristic: No actions available
[16:40:28.862] [7.140s] [INFO] Observations - Money: 0, Lives: 20, Wave: 0, Enemies: 4
[16:40:28.864] [7.140s] [INFO] Heuristic: No actions available
[16:40:28.882] [7.160s] [INFO] Heuristic: No actions available
[16:40:28.903] [7.180s] [INFO] Heuristic: No actions available
[16:40:28.923] [7.200s] [INFO] Heuristic: No actions available
[16:40:28.944] [7.220s] [INFO] Heuristic: No actions available
[16:40:28.964] [7.240s] [INFO] Heuristic: No actions available
[16:40:28.983] [7.260s] [INFO] Heuristic: No actions available
[16:40:29.002] [7.280s] [INFO] Heuristic: No actions available
[16:40:29.022] [7.300s] [INFO] Heuristic: No actions available
[16:40:29.043] [7.320s] [INFO] Heuristic: No actions available
[16:40:29.062] [7.340s] [INFO] Heuristic: No actions available
[16:40:29.084] [7.360s] [INFO] Heuristic: No actions available
[16:40:29.101] [7.380s] [INFO] Heuristic: No actions available
[16:40:29.124] [7.400s] [INFO] Heuristic: No actions available
[16:40:29.143] [7.420s] [INFO] Heuristic: No actions available
[16:40:29.163] [7.440s] [INFO] Heuristic: No actions available
[16:40:29.183] [7.460s] [INFO] Heuristic: No actions available
[16:40:29.203] [7.480s] [INFO] Heuristic: No actions available
[16:40:29.224] [7.500s] [INFO] Heuristic: No actions available
[16:40:29.243] [7.520s] [INFO] Heuristic: No actions available
[16:40:29.262] [7.540s] [INFO] Heuristic: No actions available
[16:40:29.284] [7.560s] [INFO] Heuristic: No actions available
[16:40:29.304] [7.580s] [INFO] Heuristic: No actions available
[16:40:29.324] [7.600s] [INFO] Heuristic: No actions available
[16:40:29.343] [7.620s] [INFO] Heuristic: No actions available
[16:40:29.363] [7.640s] [INFO] Heuristic: No actions available
[16:40:29.384] [7.660s] [INFO] Heuristic: No actions available
[16:40:29.404] [7.680s] [INFO] Heuristic: No actions available
[16:40:29.423] [7.700s] [INFO] Heuristic: No actions available
